"id","category","type","declared_learn_sources","special_system","mechanism_hints"
"powder","Status","Bug","implemented:egg;implemented:level","","state;timing"
"powdersnow","Special","Ice","data-only:level;implemented:egg;implemented:level;implemented:tm","","settlement;state"
"powergem","Special","Rock","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:tm","","settlement"
"powershift","Status","Normal","data-only:legacy;implemented:legacy","","state"
"powersplit","Status","Psychic","data-only:level;implemented:egg;implemented:level","","custom-callback-review"
"powerswap","Status","Psychic","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:tm","","custom-callback-review"
"powertrick","Status","Psychic","implemented:egg;implemented:level","","state"
"powertrip","Physical","Dark","data-only:egg;implemented:egg;implemented:level","","custom-callback-review;settlement"
"poweruppunch","Physical","Fighting","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:tm","","settlement;state"
"powerwhip","Physical","Grass","data-only:level;data-only:tm;implemented:egg;implemented:legacy;implemented:level;implemented:tm","","settlement"
"precipiceblades","Physical","Ground","data-only:level","","settlement"
"present","Physical","Normal","data-only:level;implemented:egg;implemented:level;implemented:special","","custom-callback-review;settlement"
"prismaticlaser","Special","Psychic","data-only:level","","settlement;state;timing"
"protect","Status","Normal","data-only:legacy;data-only:level;data-only:tm;implemented:level;implemented:tm","","custom-callback-review;state;timing"
"psybeam","Special","Psychic","data-only:level;data-only:tm;implemented:egg;implemented:legacy;implemented:level;implemented:tm","","settlement;state"
"psyblade","Physical","Psychic","implemented:level","","custom-callback-review;settlement"
"psychic","Special","Psychic","data-only:level;data-only:tm;data-only:tutor;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","settlement;state"
"psychicfangs","Physical","Psychic","data-only:level;data-only:tm;implemented:level;implemented:tm","","custom-callback-review;settlement"
"psychicnoise","Special","Psychic","data-only:tm;implemented:tm","","settlement;state"
"psychicterrain","Status","Psychic","data-only:level;data-only:tm;implemented:level;implemented:tm","","field"
"psychoboost","Special","Psychic","data-only:level;implemented:special","","settlement;state"
"psychocut","Physical","Psychic","data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:level;implemented:tm;implemented:tutor","","settlement"
"psychoshift","Status","Psychic","data-only:level;data-only:tm;implemented:egg;implemented:level","","custom-callback-review;state"
"psychup","Status","Normal","data-only:legacy;data-only:level;data-only:tm;implemented:egg;implemented:legacy;implemented:level;implemented:tm","","custom-callback-review"
"psyshieldbash","Physical","Psychic","implemented:egg;implemented:level","","settlement;state"
"psyshock","Special","Psychic","data-only:level;data-only:tm;implemented:level;implemented:tm","","settlement"
"psystrike","Special","Psychic","implemented:level","","settlement"
"psywave","Special","Psychic","data-only:level;implemented:egg;implemented:legacy;implemented:level","","custom-callback-review;settlement"
"pulverizingpancake","Physical","Normal","","Z","settlement;special-system"
"punishment","Physical","Dark","data-only:egg;data-only:level;implemented:egg;implemented:level","","custom-callback-review;settlement"
"purify","Status","Poison","implemented:level","","custom-callback-review"
"pursuit","Physical","Dark","data-only:legacy;data-only:level;implemented:egg;implemented:legacy;implemented:level","","custom-callback-review;settlement"
"pyroball","Physical","Fire","implemented:level","","settlement;state"
"quash","Status","Dark","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:tm","","custom-callback-review"
"quickattack","Physical","Normal","data-only:egg;data-only:legacy;data-only:level;implemented:egg;implemented:legacy;implemented:level;implemented:special","","settlement;timing"
"quickguard","Status","Fighting","data-only:egg;data-only:level;implemented:egg;implemented:level","","custom-callback-review;field;timing"
"quiverdance","Status","Bug","data-only:egg;data-only:level;implemented:level","","state"
"rage","Physical","Normal","data-only:level;implemented:egg;implemented:legacy;implemented:level","","settlement;state"
"ragefist","Physical","Ghost","implemented:level","","custom-callback-review;settlement"
"ragepowder","Status","Bug","data-only:level;implemented:egg;implemented:level","","custom-callback-review;state;timing"
"ragingbull","Physical","Normal","implemented:level","","custom-callback-review;settlement"
"ragingfury","Physical","Fire","data-only:level;implemented:egg;implemented:level","","custom-callback-review;settlement;state"
"raindance","Status","Water","data-only:level;data-only:tm;implemented:level;implemented:tm","","field"
"rapidspin","Physical","Normal","data-only:level;implemented:egg;implemented:level","","custom-callback-review;settlement;state"
"razorleaf","Physical","Grass","data-only:level;implemented:egg;implemented:legacy;implemented:level;implemented:tm","","settlement"
"razorshell","Physical","Water","implemented:level;implemented:tm","","settlement;state"
"razorwind","Special","Normal","data-only:egg;data-only:level;implemented:egg;implemented:legacy;implemented:level","","custom-callback-review;settlement;timing"
"recover","Status","Normal","data-only:egg;data-only:level;implemented:egg;implemented:level","","health-operation"
"recycle","Status","Normal","data-only:tm;data-only:tutor;implemented:egg;implemented:level;implemented:tm;implemented:tutor","","custom-callback-review"
"reflect","Status","Psychic","data-only:legacy;data-only:level;data-only:tm;implemented:legacy;implemented:level;implemented:tm","","field"
"reflecttype","Status","Normal","data-only:egg;implemented:egg;implemented:legacy;implemented:level","","custom-callback-review"
"refresh","Status","Normal","data-only:egg;data-only:level;implemented:egg;implemented:level;implemented:special","","custom-callback-review"
"relicsong","Special","Normal","data-only:form_change;data-only:level;data-only:tutor","","custom-callback-review;settlement;state"
"rest","Status","Psychic","data-only:level;data-only:tm;data-only:tutor;implemented:level;implemented:tm;implemented:tutor","","custom-callback-review"
"retaliate","Physical","Normal","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:tm","","custom-callback-review;settlement"
"return","Physical","Normal","data-only:legacy;implemented:egg;implemented:legacy;implemented:level","","custom-callback-review;settlement"
"revelationdance","Special","Normal","data-only:level","","custom-callback-review;settlement"
"revenge","Physical","Fighting","data-only:tm;implemented:egg;implemented:level;implemented:tm","","custom-callback-review;settlement;timing"
"reversal","Physical","Fighting","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:tm","","custom-callback-review;settlement"
"revivalblessing","Status","Normal","data-only:level;implemented:level","","custom-callback-review;switch"
"risingvoltage","Special","Electric","data-only:level;data-only:tm;data-only:tutor;implemented:tm;implemented:tutor","","custom-callback-review;settlement"
"roar","Status","Normal","data-only:legacy;data-only:level;data-only:tm;implemented:egg;implemented:legacy;implemented:level;implemented:tm","","switch;timing"
"roaroftime","Special","Dragon","data-only:level;data-only:special","","settlement;state;timing"
"rockblast","Physical","Rock","data-only:level;data-only:tm;implemented:level;implemented:tm","","settlement;timing"
"rockclimb","Physical","Normal","data-only:tm;implemented:legacy;implemented:level;implemented:tm","","settlement;state"
"rockpolish","Status","Rock","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:tm","","state"
"rockslide","Physical","Rock","data-only:level;data-only:tm;data-only:tutor;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","settlement;state"
"rocksmash","Physical","Fighting","data-only:legacy;data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:level;implemented:tm;implemented:tutor","","settlement;state"
"rockthrow","Physical","Rock","data-only:level;implemented:egg;implemented:legacy;implemented:level","","settlement"
"rocktomb","Physical","Rock","data-only:level;data-only:tm;implemented:legacy;implemented:level;implemented:tm","","settlement;state"
"rockwrecker","Physical","Rock","implemented:level","","settlement;state;timing"
"roleplay","Status","Psychic","data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:level;implemented:tm;implemented:tutor","","custom-callback-review"
"rollingkick","Physical","Fighting","data-only:level;implemented:egg;implemented:level","","settlement;state"
"rollout","Physical","Rock","data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:level;implemented:tm;implemented:tutor","","custom-callback-review;settlement"
"roost","Status","Flying","data-only:egg;data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:level;implemented:tm;implemented:tutor","","health-operation;state"
"rototiller","Status","Ground","data-only:level;implemented:egg;implemented:level","","custom-callback-review"
"round","Special","Normal","data-only:legacy;data-only:level;data-only:tm;implemented:legacy;implemented:level;implemented:tm","","custom-callback-review;settlement"
"ruination","Special","Dark","data-only:level","","custom-callback-review;settlement"
"sacredfire","Physical","Fire","data-only:level;implemented:level","","settlement;state"
"sacredsword","Physical","Fighting","data-only:level;implemented:egg;implemented:level","","settlement"
"safeguard","Status","Normal","data-only:egg;data-only:level;data-only:tm;implemented:level;implemented:tm","","field"
"saltcure","Physical","Rock","implemented:level","","settlement;state"
"sandattack","Status","Ground","data-only:level;implemented:egg;implemented:legacy;implemented:level","","state"
"sandsearstorm","Special","Ground","data-only:level","","custom-callback-review;settlement;state"
"sandstorm","Status","Rock","data-only:level;data-only:tm;implemented:level;implemented:tm","","field"
"sandtomb","Physical","Ground","data-only:level;data-only:tm;implemented:egg;implemented:legacy;implemented:level;implemented:tm","","settlement;state"
"sappyseed","Physical","Grass","","","custom-callback-review;settlement"
"savagespinout","Physical","Bug","","Z","settlement;special-system"
"scald","Special","Water","data-only:legacy;data-only:level;data-only:tm;implemented:legacy;implemented:level;implemented:tm","","settlement;state"
"scaleshot","Physical","Dragon","data-only:level;data-only:tm;data-only:tutor;implemented:legacy;implemented:tm;implemented:tutor","","settlement;timing"
"scaryface","Status","Normal","data-only:level;data-only:tm;implemented:egg;implemented:legacy;implemented:level;implemented:tm","","state"
"scorchingsands","Special","Ground","data-only:tm;data-only:tutor;implemented:tm;implemented:tutor","","settlement;state"
"scratch","Physical","Normal","data-only:level;implemented:legacy;implemented:level","","settlement"
"screech","Status","Normal","data-only:level;data-only:tm;implemented:egg;implemented:legacy;implemented:level;implemented:tm","","state"
"searingshot","Special","Fire","data-only:level","","settlement;state"
"searingsunrazesmash","Physical","Steel","","Z","settlement;special-system"
"secretpower","Physical","Normal","data-only:legacy;implemented:egg;implemented:legacy;implemented:level;implemented:tm","","custom-callback-review;settlement;state"
"secretsword","Special","Fighting","data-only:form_change;data-only:level;data-only:tutor","","settlement"
"seedbomb","Physical","Grass","data-only:tm;data-only:tutor;implemented:egg;implemented:level;implemented:tm;implemented:tutor","","settlement"
"seedflare","Special","Grass","data-only:level","","settlement;state"
"seismictoss","Physical","Fighting","data-only:egg;data-only:legacy;data-only:level;implemented:egg;implemented:legacy;implemented:level;implemented:special;implemented:tm","","health-operation;settlement"
"selfdestruct","Physical","Normal","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:tm","","settlement"
"shadowball","Special","Ghost","data-only:legacy;data-only:level;data-only:tm;data-only:tutor;implemented:level;implemented:tm;implemented:tutor","","settlement;state"
"shadowbone","Physical","Ghost","implemented:level","","settlement;state"
"shadowclaw","Physical","Ghost","data-only:level;data-only:tm;data-only:tutor;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","settlement"
"shadowforce","Physical","Ghost","data-only:level;data-only:special","","custom-callback-review;settlement;timing"
"shadowpunch","Physical","Ghost","data-only:level;implemented:egg;implemented:level","","settlement"
"shadowsneak","Physical","Ghost","data-only:egg;data-only:level;implemented:egg;implemented:level","","settlement;timing"
"shadowstrike","Physical","Ghost","","","settlement;state"
"sharpen","Status","Normal","data-only:level;implemented:egg;implemented:level","","state"
"shatteredpsyche","Physical","Psychic","","Z","settlement;special-system"
"shedtail","Status","Normal","implemented:level","","custom-callback-review;state;switch"
"sheercold","Special","Ice","data-only:level;implemented:egg;implemented:level","","health-operation;settlement"
"shellsidearm","Special","Poison","implemented:level","","custom-callback-review;settlement;state"
"shellsmash","Status","Normal","data-only:level;implemented:egg;implemented:level","","state"
"shelltrap","Special","Fire","implemented:level","","custom-callback-review;settlement;timing"
"shelter","Status","Steel","implemented:level","","state"
"shiftgear","Status","Steel","data-only:level;data-only:special;implemented:level","","state"
"shockwave","Special","Electric","data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:level;implemented:tm;implemented:tutor","","settlement"
"shoreup","Status","Ground","implemented:level","","custom-callback-review"
"signalbeam","Special","Bug","data-only:tm;data-only:tutor;implemented:level;implemented:tm;implemented:tutor","","settlement;state"
"silktrap","Status","Bug","implemented:level","","custom-callback-review;state;timing"
"silverwind","Special","Bug","data-only:tm;implemented:level;implemented:tm","","settlement;state"
"simplebeam","Status","Normal","data-only:level;implemented:egg;implemented:level","","custom-callback-review"
"sing","Status","Normal","data-only:level;data-only:special;implemented:egg;implemented:level;implemented:special","","state"
"sinisterarrowraid","Physical","Ghost","","Z","settlement;special-system"
"sizzlyslide","Physical","Fire","","","settlement;state"
"sketch","Status","Normal","implemented:level","","custom-callback-review"
"skillswap","Status","Psychic","data-only:level;data-only:tm;data-only:tutor;implemented:level;implemented:tm;implemented:tutor","","custom-callback-review"
"skittersmack","Physical","Bug","data-only:tm;data-only:tutor;implemented:egg;implemented:level;implemented:tm;implemented:tutor","","settlement;state"
"skullbash","Physical","Normal","data-only:egg;data-only:level;implemented:egg;implemented:legacy;implemented:level;implemented:tm","","custom-callback-review;settlement;timing"
"skyattack","Physical","Flying","data-only:egg;data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","custom-callback-review;settlement;state;timing"
"skydrop","Physical","Flying","data-only:tm;implemented:tm","","custom-callback-review;settlement;timing"
"skyuppercut","Physical","Fighting","implemented:egg;implemented:level","","settlement"
"slackoff","Status","Normal","implemented:egg;implemented:level","","health-operation"
"slam","Physical","Normal","data-only:level;implemented:egg;implemented:level","","settlement"
"slash","Physical","Normal","data-only:legacy;data-only:level;implemented:egg;implemented:legacy;implemented:level","","settlement"
"sleeppowder","Status","Grass","implemented:egg;implemented:legacy;implemented:level","","state"
"sleeptalk","Status","Normal","data-only:tm;data-only:tutor;implemented:egg;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","custom-callback-review"
"sludge","Special","Poison","data-only:level;implemented:egg;implemented:level","","settlement;state"
"sludgebomb","Special","Poison","data-only:level;data-only:tm;data-only:tutor;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","settlement;state"
"sludgewave","Special","Poison","data-only:level;data-only:tm;implemented:level;implemented:tm","","settlement;state"
"smackdown","Physical","Rock","data-only:level;data-only:tm;implemented:egg;implemented:legacy;implemented:level;implemented:tm","","settlement;state"
"smartstrike","Physical","Steel","data-only:level;data-only:tm;implemented:level;implemented:tm","","settlement"
"smellingsalts","Physical","Normal","implemented:egg;implemented:level","","custom-callback-review;settlement"
"smog","Special","Poison","data-only:egg;data-only:level;implemented:egg;implemented:level","","settlement;state"
"smokescreen","Status","Normal","data-only:level;implemented:egg;implemented:level","","state"
"snaptrap","Physical","Grass","implemented:level","","settlement;state"
"snarl","Special","Dark","data-only:level;data-only:tm;data-only:tutor;implemented:level;implemented:tm;implemented:tutor","","settlement;state"
"snatch","Status","Dark","data-only:tm;data-only:tutor;implemented:egg;implemented:level;implemented:tm;implemented:tutor","","state;timing"
"snipeshot","Special","Water","implemented:level","","settlement"
"snore","Special","Normal","data-only:egg;data-only:legacy;data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","custom-callback-review;settlement;state"
"snowscape","Status","Ice","data-only:level;data-only:tm;implemented:level;implemented:tm","","field"
"soak","Status","Water","data-only:level;implemented:egg;implemented:level","","custom-callback-review"
"softboiled","Status","Normal","implemented:legacy;implemented:level","","health-operation"
"solarbeam","Special","Grass","data-only:level;data-only:tm;implemented:legacy;implemented:level;implemented:tm","","custom-callback-review;settlement;timing"
"solarblade","Physical","Grass","data-only:tm;implemented:legacy;implemented:level;implemented:tm","","custom-callback-review;settlement;timing"
"sonicboom","Special","Normal","data-only:level;implemented:egg;implemented:level","","health-operation;settlement"
"soulstealing7starstrike","Physical","Ghost","","Z","settlement;special-system"
"spacialrend","Special","Dragon","data-only:level;data-only:special","","settlement"
"spark","Physical","Electric","data-only:level;implemented:egg;implemented:level","","settlement;state"
"sparklingaria","Special","Water","implemented:egg;implemented:level","","custom-callback-review;settlement;state"
"sparklyswirl","Special","Fairy","","","settlement;state"
"spectralthief","Physical","Ghost","data-only:level","","settlement"
"speedswap","Status","Psychic","data-only:level;data-only:tm;implemented:level;implemented:tm","","custom-callback-review"
"spicyextract","Status","Grass","implemented:level","","state"
"spiderweb","Status","Bug","implemented:level","","custom-callback-review"
"spikecannon","Physical","Normal","implemented:egg;implemented:legacy;implemented:level","","settlement;timing"
"spikes","Status","Ground","data-only:legacy;data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:level;implemented:tm;implemented:tutor","","field"
"spikyshield","Status","Grass","data-only:level;implemented:egg;implemented:level","","custom-callback-review;state;timing"
"spinout","Physical","Steel","implemented:level","","settlement;state"
"spiritbreak","Physical","Fairy","data-only:level;implemented:level","","settlement;state"
"spiritshackle","Physical","Ghost","implemented:level","","settlement;state"
"spite","Status","Ghost","data-only:legacy;data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","custom-callback-review"
"spitup","Special","Normal","data-only:level;implemented:egg;implemented:level","","custom-callback-review;settlement"
"splash","Status","Normal","data-only:level;implemented:egg;implemented:level","","custom-callback-review"
"splinteredstormshards","Physical","Rock","","Z","custom-callback-review;settlement;special-system"
"splishysplash","Special","Water","","","settlement;state"
"spore","Status","Grass","data-only:level;implemented:level;implemented:special","","state"
"spotlight","Status","Normal","implemented:egg;implemented:level","","custom-callback-review;state;timing"
"springtidestorm","Special","Fairy","data-only:level","","settlement;state"
"stealthrock","Status","Rock","data-only:level;data-only:tm;data-only:tutor;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","field"
"steameruption","Special","Water","data-only:level","","settlement;state"
"steamroller","Physical","Bug","data-only:level;implemented:egg;implemented:level","","settlement;state"
"steelbeam","Special","Steel","data-only:tm;data-only:tutor;implemented:tm;implemented:tutor","","custom-callback-review;settlement"
"steelroller","Physical","Steel","data-only:level;data-only:tm;data-only:tutor;implemented:tm;implemented:tutor","","custom-callback-review;settlement"
"steelwing","Physical","Steel","data-only:tm;implemented:egg;implemented:level;implemented:tm","","settlement;state"
"stickyweb","Status","Bug","data-only:egg;data-only:level;implemented:egg;implemented:level","","field"
"stockpile","Status","Normal","data-only:level;implemented:egg;implemented:level","","custom-callback-review;state"
"stokedsparksurfer","Special","Electric","","Z","settlement;special-system;state"
"stomp","Physical","Normal","data-only:egg;data-only:level;implemented:egg;implemented:legacy;implemented:level","","settlement;state"
"stompingtantrum","Physical","Ground","data-only:level;data-only:tm;data-only:tutor;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","custom-callback-review;settlement"
"stoneaxe","Physical","Rock","implemented:level","","custom-callback-review;settlement;state"
"stoneedge","Physical","Rock","data-only:level;data-only:tm;data-only:tutor;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","settlement"
"storedpower","Special","Psychic","data-only:level;data-only:tm;implemented:level;implemented:tm","","custom-callback-review;settlement"
"stormthrow","Physical","Fighting","implemented:egg;implemented:level","","settlement"
"strangesteam","Special","Fairy","implemented:level","","settlement;state"
"strength","Physical","Normal","data-only:legacy;data-only:tm;implemented:egg;implemented:legacy;implemented:level;implemented:tm","","settlement"
"strengthsap","Status","Grass","implemented:egg;implemented:level","","custom-callback-review"
"stringshot","Status","Bug","data-only:level;data-only:tm;data-only:tutor;implemented:level;implemented:tm;implemented:tutor","","state"
"struggle","Physical","Normal","","","custom-callback-review;settlement"
"strugglebug","Special","Bug","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:tm","","settlement;state"
"stuffcheeks","Status","Normal","data-only:egg;implemented:egg;implemented:level","","custom-callback-review"
"stunspore","Status","Grass","data-only:level;implemented:egg;implemented:level","","state"
"submission","Physical","Fighting","implemented:egg;implemented:legacy;implemented:level","","health-operation;settlement"
"substitute","Status","Normal","data-only:tm;implemented:level;implemented:tm","","custom-callback-review;state"
"subzeroslammer","Physical","Ice","","Z","settlement;special-system"
"suckerpunch","Physical","Dark","data-only:egg;data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","custom-callback-review;settlement;timing"
"sunnyday","Status","Fire","data-only:legacy;data-only:level;data-only:tm;implemented:legacy;implemented:level;implemented:tm","","field"
"sunsteelstrike","Physical","Steel","data-only:form_change;data-only:level;data-only:tm","","settlement"
"supercellslam","Physical","Electric","data-only:tm;implemented:tm","","custom-callback-review;settlement"
"superfang","Physical","Normal","data-only:tm;data-only:tutor;implemented:egg;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","custom-callback-review;settlement"
"superpower","Physical","Fighting","data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","settlement;state"
"supersonic","Status","Normal","data-only:egg;data-only:level;implemented:egg;implemented:level;implemented:tm","","state"
"supersonicskystrike","Physical","Flying","","Z","settlement;special-system"
"surf","Special","Water","data-only:level;data-only:tm;implemented:legacy;implemented:level;implemented:tm","","settlement"
"surgingstrikes","Physical","Water","data-only:level","","settlement;timing"
"swagger","Status","Normal","data-only:legacy;data-only:level;data-only:tm;implemented:egg;implemented:legacy;implemented:level;implemented:tm","","state"
"swallow","Status","Normal","data-only:level;implemented:egg;implemented:level","","custom-callback-review"
"sweetkiss","Status","Fairy","data-only:egg;data-only:level;implemented:egg;implemented:level;implemented:special","","state"
"sweetscent","Status","Normal","data-only:legacy;data-only:level;implemented:egg;implemented:legacy;implemented:level;implemented:special;implemented:tm","","state"
"swift","Special","Normal","data-only:legacy;data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","settlement"
"switcheroo","Status","Dark","data-only:tm;implemented:egg;implemented:level","","custom-callback-review"
"swordsdance","Status","Normal","data-only:level;data-only:tm;implemented:legacy;implemented:level;implemented:tm","","state"
"synchronoise","Special","Psychic","data-only:level;implemented:egg;implemented:level","","custom-callback-review;settlement"
"synthesis","Status","Grass","data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:level;implemented:tm;implemented:tutor","","custom-callback-review"
"syrupbomb","Special","Grass","implemented:level","","settlement;state"
"tachyoncutter","Special","Steel","data-only:level","","settlement;timing"
"tackle","Physical","Normal","data-only:level;implemented:legacy;implemented:level","","settlement"
"tailglow","Status","Bug","data-only:level;implemented:level","","state"
"tailslap","Physical","Normal","data-only:level;data-only:tm;implemented:level;implemented:tm","","settlement;timing"
"tailwhip","Status","Normal","data-only:level;implemented:egg;implemented:level;implemented:tm","","state"
"tailwind","Status","Flying","data-only:legacy;data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","field"
"takedown","Physical","Normal","data-only:level;data-only:tm;implemented:egg;implemented:legacy;implemented:level;implemented:tm","","health-operation;settlement"
"takeheart","Status","Psychic","data-only:level","","custom-callback-review"
"tarshot","Status","Rock","implemented:level","","state"
"taunt","Status","Dark","data-only:legacy;data-only:level;data-only:tm;implemented:legacy;implemented:level;implemented:tm","","state"
"tearfullook","Status","Normal","implemented:egg;implemented:level;implemented:tm","","state"
"teatime","Status","Normal","implemented:level","","custom-callback-review"
"technoblast","Special","Normal","data-only:level","","custom-callback-review;settlement"
"tectonicrage","Physical","Ground","","Z","settlement;special-system"
"teeterdance","Status","Normal","data-only:level;implemented:egg;implemented:level;implemented:special;implemented:tm","","state"
"telekinesis","Status","Psychic","data-only:tm;data-only:tutor;implemented:tm;implemented:tutor","","custom-callback-review;state"
"teleport","Status","Psychic","data-only:level;implemented:legacy;implemented:level","","custom-callback-review;switch;timing"
"temperflare","Physical","Fire","data-only:tm;implemented:tm","","custom-callback-review;settlement"
"terablast","Special","Normal","data-only:tm;implemented:tm","","custom-callback-review;settlement"
"terastarstorm","Special","Normal","data-only:level","","custom-callback-review;settlement"
"terrainpulse","Special","Normal","data-only:tm;data-only:tutor;implemented:level;implemented:tm;implemented:tutor","","custom-callback-review;settlement"
"thief","Physical","Dark","data-only:level;data-only:tm;implemented:level;implemented:tm","","custom-callback-review;settlement"
"thousandarrows","Physical","Ground","data-only:form_change;data-only:level","","custom-callback-review;settlement;state"
"thousandwaves","Physical","Ground","data-only:form_change;data-only:level","","custom-callback-review;settlement"
"thrash","Physical","Normal","data-only:level;implemented:egg;implemented:legacy;implemented:level","","custom-callback-review;settlement;state"
"throatchop","Physical","Dark","data-only:level;data-only:tm;data-only:tutor;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","settlement;state"
"thunder","Special","Electric","data-only:level;data-only:tm;implemented:legacy;implemented:level;implemented:tm","","custom-callback-review;settlement;state"
"thunderbolt","Special","Electric","data-only:legacy;data-only:level;data-only:tm;data-only:tutor;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","settlement;state"
"thundercage","Special","Electric","implemented:level","","settlement;state"
"thunderclap","Special","Electric","data-only:level","","custom-callback-review;settlement;timing"
"thunderfang","Physical","Electric","data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:level;implemented:tm;implemented:tutor","","settlement;state"
"thunderouskick","Physical","Fighting","implemented:level","","settlement;state"
"thunderpunch","Physical","Electric","data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:level;implemented:tm;implemented:tutor","","settlement;state"
"thundershock","Special","Electric","data-only:level;implemented:legacy;implemented:level","","settlement;state"
"thunderwave","Status","Electric","data-only:legacy;data-only:level;data-only:tm;implemented:legacy;implemented:level;implemented:tm","","state"
"tickle","Status","Normal","data-only:level;implemented:egg;implemented:level;implemented:special;implemented:tm","","state"
"tidyup","Status","Normal","implemented:egg;implemented:level","","custom-callback-review"
"topsyturvy","Status","Dark","implemented:level","","custom-callback-review"
"torchsong","Special","Fire","implemented:level","","settlement;state"
"torment","Status","Dark","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:tm","","state"
"toxic","Status","Poison","data-only:egg;data-only:legacy;data-only:level;data-only:tm;implemented:egg;implemented:legacy;implemented:level;implemented:tm","","state"
"toxicspikes","Status","Poison","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:tm","","field"
"toxicthread","Status","Poison","implemented:level","","state"
"trailblaze","Physical","Grass","data-only:tm;implemented:tm","","settlement;state"
"transform","Status","Normal","implemented:level","","custom-callback-review"
"triattack","Special","Normal","data-only:level;data-only:tm;implemented:level;implemented:tm","","settlement;state"
"trick","Status","Psychic","data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:level;implemented:tm;implemented:tutor","","custom-callback-review"
"trickortreat","Status","Ghost","implemented:level","","custom-callback-review"
"trickroom","Status","Psychic","data-only:level;data-only:tm;implemented:legacy;implemented:level;implemented:tm","","field;timing"
"triplearrows","Physical","Fighting","implemented:level","","settlement;state"
"tripleaxel","Physical","Ice","data-only:tm;data-only:tutor;implemented:tm;implemented:tutor","","custom-callback-review;settlement;timing"
"tripledive","Physical","Water","implemented:level","","settlement;timing"
"triplekick","Physical","Fighting","data-only:level;implemented:level","","custom-callback-review;settlement;timing"
"tropkick","Physical","Grass","implemented:level","","settlement;state"
"trumpcard","Special","Normal","data-only:level;implemented:egg;implemented:level","","custom-callback-review;settlement"
"twinbeam","Special","Psychic","implemented:level","","settlement;timing"
"twineedle","Physical","Bug","implemented:egg;implemented:level","","settlement;state;timing"
"twinkletackle","Physical","Fairy","","Z","settlement;special-system"
"twister","Special","Dragon","data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:level;implemented:tm;implemented:tutor","","settlement;state"
"upperhand","Physical","Fighting","data-only:tm;implemented:tm","","custom-callback-review;settlement;state;timing"
"uproar","Special","Normal","data-only:legacy;data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","custom-callback-review;settlement;state"
"uturn","Physical","Bug","data-only:level;data-only:tm;implemented:legacy;implemented:level;implemented:tm","","settlement;switch"
"vacuumwave","Special","Fighting","data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","settlement;timing"
"vcreate","Physical","Fire","data-only:level;implemented:special","","settlement;state"
